PLR_ID,public_tra,eating,culture,community,health_car,public_ser,education,schools,universiti,kindergart,outdoor_fa,outdoor_le,night_life,water,ave_rent,social_hou,public_hou,dyn_ew,five_y_pls,dyn_sales,child_pov,dyn_unempl,noise,air,green,bio,B_age,mig_rate,label,PLR_NAME,BZR_NAME
12400618,39,6.0,1.0,0.0,2.0,15,0.0,2.0,1.0,4.0,21.0,1.0,2.0,0.0,10.78765225989904,2.881019919917162,1.694177053843887,0.874124272974659,76.85935608070722,10.556563925952796,6.09,-0.12,0,0,0,1,B_1941_1990,0.14277063428939,2,Heiligensee Nord,West 2 - Heiligensee/Konradshöhe
11300618,42,22.0,0.0,1.0,20.0,18,1.0,0.0,0.0,10.0,159.0,4.0,12.0,4.0,8.737148599885405,0.590387537516654,32.681323216855525,4.880989683419465,62.08234585933388,7.562202362529933,26.46,1.02,1,1,0,2,B_1941_1990,0.301944355918689,0,Storkower Bogen,Fennpfuhl
06100102,144,108.0,3.0,1.0,137.0,33,3.0,0.0,1.0,25.0,110.0,2.0,24.0,2.0,10.8,2.0,1.39,2.51,67.92,60.48,13.1,0.53,1,1,2,2,B_1940,0.36451518145967,3,Schloßstraße,Schloßstraße
01400941,101,23.0,3.0,0.0,20.0,18,0.0,0.0,1.0,12.0,46.0,1.0,24.0,0.0,9.59887546855607,5.880000545564108,15.218207524549216,1.087717280737124,61.66395363048534,43.5144841101754,42.35,2.21,3,1,0,2,B_1941_1990,0.433786499133963,0,Londoner Straße,Parkviertel
08100313,70,52.0,5.0,4.0,21.0,10,0.0,0.0,1.0,13.0,158.0,1.0,36.0,0.0,11.518677486357577,6.719850763781127,9.56515696612787,-2.006660669545504,62.903717853323876,41.431022549152694,39.24,2.15,0,1,2,2,B_1940,0.38009771986748,4,Bouchéstraße,Reuterstraße
01100416,126,289.0,14.0,6.0,28.0,26,1.0,5.0,0.0,22.0,147.0,18.0,83.0,10.0,16.157192955169155,1.882176817507207,16.66586741497296,11.281912854022158,56.725283664734675,48.8757038158046,5.69,0.9,1,1,2,2,B_1940,0.404166058615261,1,Arkonaplatz,Brunnenstraße Süd
01100313,186,147.0,21.0,15.0,22.0,30,2.0,4.0,3.0,14.0,312.0,9.0,54.0,21.0,16.1578984396327,1.862455547244754,16.641932901428518,11.252925394988416,56.749972142543704,48.89434603768446,16.22,0.71,1,1,1,2,B_1941_1990,0.460808983456342,1,Heine-Viertel Ost,Alexanderplatz
12400721,89,11.0,0.0,3.0,23.0,19,0.0,0.0,0.0,3.0,104.0,0.0,2.0,1.0,9.74,1.72,1.46,1.19,75.56,15.46,4.74,-0.1,0,0,0,0,B_1940,0.138235028311514,2,Frohnau Ost,Nord 1 - Frohnau/Hermsdorf
01200519,79,92.0,3.0,7.0,39.0,25,1.0,0.0,0.0,20.0,103.0,2.0,35.0,1.0,14.53,6.69,4.41,6.07,59.13,52.36,41.85,2.21,1,2,2,2,B_1940,0.508402363478121,4,Emdener Straße,Moabit West
03400721,116,51.0,7.0,2.0,44.0,18,3.0,1.0,0.0,16.0,160.0,13.0,18.0,3.0,10.50993925464996,1.644838571086711,20.25982844578306,6.009262843197138,66.09946049295877,29.479515482265946,7.53,0.55,3,1,1,2,B_1940,0.176383387106256,3,Florakiez,Pankow Zentrum
02200209,136,147.0,16.0,9.0,36.0,30,0.0,3.0,0.0,31.0,193.0,21.0,50.0,11.0,14.401023556136643,5.642187893374357,4.934788867150783,2.409113053682959,63.39850782272988,48.02263568450464,16.12,0.8,1,2,0,2,B_1940,0.406237228909397,1,Viktoriapark,Tempelhofer Vorstadt
05400944,74,20.0,0.0,0.0,6.0,8,0.0,0.0,3.0,4.0,57.0,0.0,1.0,0.0,9.890746859454376,1.490469288567256,1.780138840591244,1.310771000004606,73.96794862007053,8.126321301987627,2.66,0.08,0,0,0,1,B_1941_1990,0.170618756462316,2,Kladower Damm,Gatow/Kladow
02500830,69,227.0,8.0,12.0,50.0,28,3.0,2.0,0.0,20.0,150.0,12.0,90.0,1.0,13.97034955167852,0.740201775236055,8.385476407228852,9.83800758065481,52.41386818715022,84.33514374206482,11.4,0.75,1,1,2,2,B_1940,0.392954512655605,1,Niederbarnimstraße,Frankfurter Allee Süd FK
07501031,157,36.0,0.0,6.0,27.0,17,0.0,2.0,1.0,17.0,55.0,6.0,11.0,0.0,8.300981699961122,8.03761063263053,10.09117622668913,2.769624360554153,68.31930143067495,37.210845220007464,26.63,0.8,1,1,0,1,B_1941_1990,0.339252427649864,2,Eisenacher Straße,Mariendorf Nord
08301037,75,12.0,0.0,0.0,9.0,9,0.0,1.0,0.0,3.0,65.0,7.0,3.0,1.0,8.217264915481211,6.642830312512816,27.001525266095996,2.326580937169492,73.04444676533342,24.113921385966243,48.81,3.81,0,1,1,1,B_1941_1990,0.53721519915829,0,Gropiusstadt Süd-Ost,Gropiusstadt Ost
12601031,148,20.0,0.0,4.0,13.0,18,1.0,1.0,0.0,11.0,75.0,8.0,6.0,1.0,7.55,1.56,42.23,3.38,69.9,15.78,21.5,0.22,1,1,0,1,B_1941_1990,0.299532480988451,0,Lübarser Straße,Rollbergesiedlung
04400728,109,19.0,2.0,1.0,10.0,18,0.0,1.0,0.0,4.0,38.0,2.0,2.0,3.0,12.38,7.95,9.01,4.74,68.32,57.8,3.55,0.29,1,1,0,0,B_1941_1990,0.368441659088842,2,Hagenplatz,Grunewald
07200307,131,132.0,1.0,3.0,86.0,35,4.0,7.0,4.0,31.0,125.0,1.0,27.0,3.0,13.980610427412321,4.040962668804569,7.793168621565564,3.277209803974256,65.18389058583708,56.744479186652455,13.59,1.23,1,2,2,2,B_1941_1990,0.362949675616714,3,Bayerischer Platz,Schöneberg Südwest
09501737,79,27.0,0.0,1.0,16.0,14,0.0,1.0,0.0,2.0,131.0,2.0,4.0,0.0,10.569846982142845,0.950106937836899,15.200771096126699,7.669747234295573,67.20014503324404,22.60905940406039,6.83,0.62,1,0,0,1,B_1940,0.087577330807865,2,Alt-Friedrichshagen,Friedrichshagen
10200524,96,8.0,2.0,1.0,24.0,11,0.0,1.0,0.0,4.0,125.0,5.0,6.0,1.0,8.620030038996902,2.549945049516737,38.32896739330126,6.43998219209634,65.45030597359656,6.069899453372728,31.89,0.8,0,1,0,2,B_1941_1990,0.187925615075916,0,Adele-Sandrock-Straße,Hellersdorf Ost
03500932,88,18.0,1.0,1.0,10.0,16,1.0,2.0,1.0,8.0,42.0,15.0,8.0,0.0,10.288083708792692,1.744778272204567,21.061383123788982,5.910106299900217,63.26429773771321,22.251270681538152,20.92,0.35,0,1,1,1,B_1940,0.139350356535782,2,Bühringstraße,Weißensee
07200413,168,121.0,5.0,8.0,52.0,32,3.0,1.0,0.0,36.0,240.0,11.0,41.0,7.0,13.963748946817795,4.030304140558583,7.845601481331395,3.269933109510457,65.19222856562278,56.53106557269799,14.0,0.89,1,2,2,2,B_1940,0.386605927784974,3,Cheruskerstraße,Schöneberg Südost
02400520,112,83.0,3.0,8.0,35.0,35,4.0,3.0,1.0,16.0,223.0,26.0,26.0,5.0,14.61728271879256,1.118723683325807,37.392970353745625,6.090678618432721,59.701942720619265,56.407951388142536,33.33,1.98,2,1,0,1,B_1941_1990,0.316632163625333,3,Barnimkiez,Karl-Marx-Allee Nord
02500836,133,18.0,3.0,3.0,21.0,12,0.0,0.0,0.0,3.0,481.0,6.0,11.0,6.0,13.96682912598335,0.740047860713094,8.38087596718309,9.837679088541481,52.42072457484551,84.30412132177212,3.89,0.21,0,1,0,1,B_1991_2015,0.229017147050972,2,Stralauer Halbinsel,Frankfurter Allee Süd FK
12500928,83,16.0,0.0,0.0,12.0,17,0.0,0.0,0.0,7.0,62.0,3.0,7.0,0.0,7.551556205326924,1.560113787578885,42.2010457140149,3.378444794158567,69.90402658120497,15.779774153138279,12.25,0.66,1,1,0,1,B_1941_1990,0.190363671848903,0,Waidmannslust,Nord 2 - Waidmannslust/Wittenau/Lübars
05100210,84,5.0,0.0,0.0,9.0,8,0.0,0.0,0.0,8.0,24.0,1.0,9.0,0.0,7.99,5.95,12.59,6.47,63.56,33.4,46.31,0.69,3,1,0,2,B_1940,0.376602389818096,0,Germersheimer Platz,Falkenhagener Feld
08401246,151,12.0,0.0,1.0,20.0,19,0.0,1.0,0.0,2.0,251.0,3.0,5.0,1.0,7.90365618116688,18.560379090348725,9.793456414894898,1.937032977248309,73.55438377897022,10.643795894240029,25.62,1.49,0,0,0,1,B_1941_1990,0.270401712138882,0,Waltersdorfer Chaussee Ost,Rudow
04500936,106,222.0,8.0,1.0,81.0,37,3.0,3.0,1.0,26.0,115.0,2.0,46.0,9.0,13.07,4.71,6.8,3.37,64.77,72.07,22.02,0.59,1,2,2,2,B_1940,0.456475619868133,1,Droysenstraße,Halensee
02300419,100,204.0,8.0,7.0,27.0,29,1.0,3.0,3.0,34.0,270.0,10.0,74.0,4.0,12.68885951732518,7.374563907341798,9.350752326671499,-2.286893199830083,68.14983460523304,42.445553331946726,24.55,1.24,0,1,1,2,B_1940,0.512702430532855,1,Wrangelkiez,Südliche Luisenstadt
